id,название,город,статус_координат,адрес (заполнить)
104,Ресторан «Гроза»,Кострома,ТОЧНО,"Кострома, проспект Мира, 4Б"
105,Ресторан «Сыровар»,Кострома,ТОЧНО,"Кострома, проспект Мира, 4"
114,Сумароковский заказник,Кострома,ТОЧНО,"Костромская область, Красносельский р-н, д. Сумароково (Сумароковская лосиная ферма)"
109,Театр Островского,Кострома,ТОЧНО,"Кострома, проспект Мира, 9"
103,Терем Асташево,Кострома,ПРИМЕРНО (центр города),"Костромская область, Чухломский р-н, д. Асташово, 1а"
106,Трактир «Калачная»,Кострома,ТОЧНО,"Кострома, ул. Красные Ряды, 1"
102,Эко-отель Лунный кролик,Кострома,ПРИМЕРНО (центр города),"Костромская область, Кадыйский р-н, д. Хороброво, 1"
233,Гай-Кодзор,Краснодарский край,ТОЧНО,"Краснодарский край, с. Гай-Кодзор, ул. Южная, 12А"
234,Долина Лефкадия,Краснодарский край,ТОЧНО,"Краснодарский край, Крымский р-н, с. Молдаванское, Степная ул., 1д"
231,Имение Сикоры,Краснодарский край,ТОЧНО,"Краснодарский край, Новороссийск, х. Семигорский, 24 км, 2"
232,Скалистый берег,Краснодарский край,ТОЧНО,"Краснодарский край, Анапский р-н"
230,Шато де Талю,Краснодарский край,ТОЧНО,"Краснодарский край, Геленджик, ул. Фадеева, 52а"
210,AYU,Москва,ТОЧНО,"Москва, Романов переулок, 2, стр. 1"
215,Amber,Москва,ТОЧНО,"Москва, Цветной бульвар, 2"
223,Eva,Москва,ТОЧНО,"Москва, 1-й переулок Тружеников, 2"
217,Fullmoon,Москва,ТОЧНО,"Москва, Малая Никитская ул., 16/5"
218,Hachiko,Москва,ТОЧНО,"Москва, Пятницкая ул., 25, стр. 1д"
214,Hibiki,Москва,ТОЧНО,"Москва, Трубецкая ул., 10"
221,Ikura Izakaya Nikkei,Москва,ТОЧНО,"Москва, Рождественский бульвар, 1"
213,Jun,Москва,ТОЧНО,"Москва, Большая Никитская ул., 24/1, стр. 6"
227,Kefi,Москва,ТОЧНО,"Москва, Мансуровский переулок, 12, стр. 5"
236,La Bottega Siciliana,Москва,ТОЧНО,"Москва, Охотный Ряд ул., 2"
225,Meraki,Москва,ТОЧНО,"Москва, Новорязанская ул., 23, стр. 2"
228,Molon Lave,Москва,ТОЧНО,"Москва, Большая Грузинская ул., 39"
237,Olluco,Москва,ТОЧНО,"Москва, Даев переулок, 19"
222,Pafos,Москва,ТОЧНО,"Москва, Тверской бульвар, 27, стр. 1"
226,Papandopulo,Москва,ТОЧНО,"Москва, 2-я Звенигородская ул., 12, стр. 23"
239,Sangre Fresca,Москва,ТОЧНО,"Москва, Ермолаевский переулок, 10/7"
238,Savoy,Москва,ТОЧНО,"Москва, ул. Рождественка, 3/6, стр. 1"
216,Self Edge Japanese,Москва,ТОЧНО,"Москва, Большая Грузинская ул., 76"
212,TAJIRI GO,Москва,ТОЧНО,"Москва, Романов переулок, 2, стр. 1"
220,Tabi,Москва,ТОЧНО,"Москва, ул. Солянка, 1/2, стр. 1"
224,The Greeks,Москва,ТОЧНО,"Москва, Неглинная ул., 15"
219,Tottori,Москва,ТОЧНО,"Москва, площадь Новая, 14"
211,UCHIWA,Москва,ТОЧНО,"Москва, Романов переулок, 2, стр. 1"
229,Кухня Кипра,Москва,ТОЧНО,"Москва, Ленинградский проспект, 36"
81,Hilton 4*,Нижний Новгород,ПРИМЕРНО (центр города),"Нижний Новгород, ул. Максима Горького, 252"
78,Mercure 4*,Нижний Новгород,ПРИМЕРНО (центр города),"Нижний Новгород, ул. Октябрьская, 11а"
77,Sheraton 5*,Нижний Новгород,ПРИМЕРНО (центр города),"Нижний Новгород, Театральная площадь, 1"
90,Бар Медные трубы,Нижний Новгород,ТОЧНО,"Нижний Новгород, Рождественская ул., 40"
80,Горки 4*,Нижний Новгород,ТОЧНО,"Нижний Новгород, ул. Маслякова, 16"
79,Кулибин  5*,Нижний Новгород,ПРИМЕРНО (центр города),"Нижний Новгород, ул. Максима Горького, 121"
91,"Культурный центр ""Пакгаузы""",Нижний Новгород,ПРИМЕРНО (центр города),"Нижний Новгород, Стрелка, 21, литера Ж"
89,Министерство завтраков,Нижний Новгород,ТОЧНО,"Нижний Новгород, Большая Покровская ул., 21/5"
95,Музей -квартира М.Горького,Нижний Новгород,ТОЧНО,"Нижний Новгород, ул. Семашко, 19"
92,Музей Кремля,Нижний Новгород,ПРИМЕРНО (центр города),"Нижний Новгород, пл. Минина и Пожарского (Нижегородский кремль)"
94,Музей современного искусства «Арсенал»,Нижний Новгород,ТОЧНО,"Нижний Новгород, территория Кремль, 6"
96,Мультимедийное пространство ЦЕХ,Нижний Новгород,ПРИМЕРНО (центр города),"Нижний Новгород, Варварская ул., 32"
97,Парк 800-летия Нижнего Новгорода,Нижний Новгород,ПРИМЕРНО (центр города),"Нижний Новгород, Суетинская ул., 29"
85,"Ресторан ""Escape""",Нижний Новгород,ТОЧНО,"Нижний Новгород, Верхне-Волжская наб., 8"
84,"Ресторан ""Red Wall""",Нижний Новгород,ТОЧНО,"Нижний Новгород, Кожевенная ул., 2"
83,"Ресторан ""YALE""",Нижний Новгород,ТОЧНО,"Нижний Новгород, Рождественская ул., 30"
82,"Ресторан ""Парк Культуры""",Нижний Новгород,ТОЧНО,"Нижний Новгород, Верхне-Волжская наб., 10а"
87,"Ресторан ""Пяткин""",Нижний Новгород,ТОЧНО,"Нижний Новгород, Рождественская ул., 25"
86,"Ресторан ""Самовар да утки""",Нижний Новгород,ПРИМЕРНО (центр города),"Нижний Новгород, Большая Покровская ул., 4"
88,Ресторан 19,Нижний Новгород,ТОЧНО,"Нижний Новгород, Ошарская ул., 8а"
98,Стрелка,Нижний Новгород,ТОЧНО,"Нижний Новгород, ул. Стрелка"
93,Усадьба Руковишниковых,Нижний Новгород,ПРИМЕРНО (центр города),"Нижний Новгород, Верхне-Волжская наб., 7"
240,На Даче,Ожигово (Московская область),ПРИМЕРНО (центр города),"Московская область, д. Ожигово"
46,Ikra,Плёс,ТОЧНО,"Плёс, пер. Кирова, 1а"
40,"Бутик-дома ""Соборная слобода""",Плёс,ПРИМЕРНО (центр города),"Плёс, Советская ул., 27"
55,Вилла Плес,Плёс,ПРИМЕРНО (центр города),"Плёс, д. Шаляпино, 2"
39,Вилла Плёс,Плёс,ПРИМЕРНО (центр города),"Плёс, д. Шаляпино, 2"
43,Глэмпинг экопарк Иволга,Плёс,ПРИМЕРНО (центр города),"Плёс, ул. Гора Левитана, 39"
57,Горнолыжный комплекс «Миловка»,Плёс,ПРИМЕРНО (центр города),Плёс (горнолыжный комплекс «Миловка»)
38,Гостевой дом Софи,Плёс,ПРИМЕРНО (центр города),"Плёс, ул. Кирова, 8"
42,Грандъ Сова,Плёс,ТОЧНО,"Плёс, ул. Варваринская, 18"
45,Дом Шемякина,Плёс,ПРИМЕРНО (центр города),"Плёс, Советская ул., 75"
44,Дом-отель Волга-Волга,Плёс,ТОЧНО,"Плёс, ул. Спуск Горы Свободы, 12б"
56,Конный клуб «Счастье»,Плёс,ПРИМЕРНО (центр города),Плёс (эко-комплекс «Счастье»)
58,Копченый лещ,Плёс,ПРИМЕРНО (центр города),Плёс
48,Кофейня Софьи Петровны Кувшинниковой,Плёс,ТОЧНО,Плёс
53,Кулеечная,Плёс,ПРИМЕРНО (центр города),Плёс
51,Плесский пивной дом,Плёс,ПРИМЕРНО (центр города),"Плёс, Юрьевская ул., 4"
50,Ресторан при Усадьбе Плес,Плёс,ПРИМЕРНО (центр города),"Плёс, ул. Спуск Горы Свободы, 20"
47,Ресторан при гостевом доме Софи,Плёс,ПРИМЕРНО (центр города),"Плёс, ул. Кирова, 8"
49,Ресторан при отеле Грандъ Сова,Плёс,ПРИМЕРНО (центр города),"Плёс, ул. Варваринская, 18"
52,Рыбный угол,Плёс,ТОЧНО,Плёс
41,Усадьба Плес,Плёс,ТОЧНО,"Плёс, ул. Спуск Горы Свободы, 18"
54,Усадьба Плес,Плёс,ТОЧНО,"Плёс, ул. Спуск Горы Свободы, 18"
159,Happy places Аренда дубльдомов.,Поленово,ПРИМЕРНО (центр города),"Тульская область, Заокский р-н, Поленово"
166,Баня в Зеленой тропе,Поленово,ПРИМЕРНО (центр города),"Тульская область, Заокский р-н, ок. д. Волковичи (глэмпинг «Зелёная тропа»)"
169,Берлога,Поленово,ПРИМЕРНО (центр города),"Тульская область, Заокский р-н, Поленово"
155,Болотов Дача,Поленово,ПРИМЕРНО (центр города),"Тульская область, Заокский р-н, д. Дворяниново, 130"
170,Брунколь В основе меню,Поленово,ПРИМЕРНО (центр города),"Тульская область, Заокский р-н, д. Митино, Сосновый бульвар, 3а"
158,Дар Велегож,Поленово,ПРИМЕРНО (центр города),"Тульская область, Заокский р-н, КП Велегож-Парк Престиж, 59"
156,Зелёная тропа,Поленово,ПРИМЕРНО (центр города),"Тульская область, Заокский р-н, ок. д. Волковичи"
161,Избы в Ченцово,Поленово,ПРИМЕРНО (центр города),"Тульская область, Заокский р-н, д. Ченцово, 10"
168,Калачная Марк и Лев,Поленово,ПРИМЕРНО (центр города),"Тульская область, Заокский р-н (калачная «Марк и Лев»)"
173,Кофейня Nouveau,Поленово,ПРИМЕРНО (центр города),"Тульская область, Заокский р-н, пос. Музей им. Поленова, ул. Музей им. Поленова, 1"
163,Музей-заповедник В. Д. Поленова,Поленово,ПРИМЕРНО (центр города),"Тульская область, Заокский р-н, с. Страхово"
160,Муми Дача,Поленово,ПРИМЕРНО (центр города),"Тульская область, Заокский р-н, Поленово"
167,Поварня Марк и Лев,Поленово,ПРИМЕРНО (центр города),"Тульская область, Заокский р-н (поварня «Марк и Лев»)"
165,Прогулки на лошадях,Поленово,ПРИМЕРНО (центр города),"Тульская область, Заокский р-н, Поленово"
171,Ресторан в Зелёной тропе,Поленово,ПРИМЕРНО (центр города),"Тульская область, Заокский р-н, ок. д. Волковичи (глэмпинг «Зелёная тропа»)"
162,Скрытово.Дачи,Поленово,ПРИМЕРНО (центр города),"Тульская область, Заокский р-н, д. Скрипово, 75"
164,Теннисный корт,Поленово,ПРИМЕРНО (центр города),"Тульская область, Заокский р-н, Поленово"
172,Трапезная,Поленово,ПРИМЕРНО (центр города),"Тульская область, Заокский р-н, Поленово"
157,Усадьба в Бехово,Поленово,ПРИМЕРНО (центр города),"Тульская область, Заокский р-н, с. Бёхово"
148,Jardin,Серпухов,ПРИМЕРНО (центр города),"Серпухов, Свердлова ул., 24"
144,SUP-прогулки и походы.,Серпухов,ПРИМЕРНО (центр города),Серпуховский г.о.
139,Бунин ручей,Серпухов,ПРИМЕРНО (центр города),"Серпуховский г.о., д. Клеймёново"
154,Буренная прожарка,Серпухов,ПРИМЕРНО (центр города),"Серпухов, ул. Революции, 3"
138,Загородные дома Domingo dacha,Серпухов,ПРИМЕРНО (центр города),"Серпуховский г.о., ул. Венский лес, 146"
142,Иммерсивные гастро-спектакли,Серпухов,ПРИМЕРНО (центр города),Серпуховский г.о.
147,Китчен Маркет,Серпухов,ТОЧНО,"Серпухов, ул. Ворошилова, 5/22"
152,Ла Дача,Серпухов,ПРИМЕРНО (центр города),"Серпухов, Советская ул., 2Б"
143,"Музей хлеба, Серпухов.",Серпухов,ТОЧНО,"Серпухов, Калужская ул., 9"
151,Овсянка,Серпухов,ТОЧНО,"Серпухов, ул. Чехова, 36"
140,Отель «Провинция»,Серпухов,ТОЧНО,"Серпухов, Калужская ул., 9"
146,Приокско-террасный государственный заповедник,Серпухов,ТОЧНО,"Московская область, Серпуховский г.о., пос. Данки (Приокско-Террасный заповедник)"
150,Себастия,Серпухов,ТОЧНО,"Серпухов, ул. Чехова, 17"
145,Серпуховские Мальдивы,Серпухов,ПРИМЕРНО (центр города),"Серпуховский г.о., о-в Дракино"
141,Серпуховский историко-художественный музей,Серпухов,ТОЧНО,"Серпухов, ул. Чехова, 87"
149,Фабрикант,Серпухов,ПРИМЕРНО (центр города),"Серпухов, Тульская ул., 5"
153,Чайная Матрена,Серпухов,ПРИМЕРНО (центр города),"Серпухов, ул. Революции, 3"
16,«Мира центр»,Суздаль,ТОЧНО,"Суздаль, Кремлёвская ул., 5"
8,Агроном,Суздаль,ТОЧНО,"Суздаль, ул. Ленина, 63а"
23,Баня Белый берег,Суздаль,ПРИМЕРНО (центр города),"Суздаль, ул. Набережная, 13"
5,"Бутик-отель ""Пестово подворье»",Суздаль,ПРИМЕРНО (центр города),"Суздаль, ул. Ленина, 54"
9,Гнездо пекаря,Суздаль,ТОЧНО,"Суздаль, ул. Толстого, 6а"
22,Горячие ключи,Суздаль,ТОЧНО,"Суздаль, ул. Коровники, 14"
6,Гостевой дом Суриковых,Суздаль,ПРИМЕРНО (центр города),"Суздаль, ул. Красноармейская, 53"
7,Гостиный двор,Суздаль,ТОЧНО,"Суздаль, ул. Ленина, 63а"
11,Грандъ-кафе «Петрушка»,Суздаль,ПРИМЕРНО (центр города),"Суздаль, Торговая площадь, 1а"
1,Дача Белый берег,Суздаль,ПРИМЕРНО (центр города),"Суздаль, ул. Набережная, 13"
12,Дом русского чаепития,Суздаль,ТОЧНО,"Суздаль, ул. Старая, 6"
4,ДубльДача,Суздаль,ПРИМЕРНО (центр города),"Суздаль (с. Сельцо), ул. Зелёная, 47"
242,Дымов Дача,Суздаль,ПРИМЕРНО (центр города),"Суздаль, ул. Гремячка, 10"
19,Квадроциклы,Суздаль,ПРИМЕРНО (центр города),Суздаль (без единого адреса; прокат квадроциклов)
15,Клюква,Суздаль,ТОЧНО,"Суздаль, Кремлёвская ул., 19"
10,Лепота,Суздаль,ТОЧНО,"Суздаль, ул. Ленина, 45"
18,Мастер-классы в «Дымов керамика»,Суздаль,ПРИМЕРНО (центр города),"Суздаль, ул. Ленина, 63а"
20,Парапланы,Суздаль,ПРИМЕРНО (центр города),Суздаль (без единого адреса; полёты на параплане)
21,Рекомендованные Гиды по Суздалю,Суздаль,ПРИМЕРНО (центр города),"Суздаль, ул. Ленина, 63а (Туристский информационный центр)"
25,Сельская жизнь,Суздаль,ПРИМЕРНО (центр города),"Суздаль, ул. Ленина, 63а"
17,Сельский театр,Суздаль,ПРИМЕРНО (центр города),"Суздальский р-н, с. Фомиха, 59"
13,Словно в мае,Суздаль,ТОЧНО,"Суздаль, ул. Ленина, 148А"
24,Суздаль Аква,Суздаль,ПРИМЕРНО (центр города),"Суздаль, ул. Коровники, 45А"
2,Суздаль дом,Суздаль,ПРИМЕРНО (центр города),"Суздаль, пер. Садовый, 16"
14,Сыродельня,Суздаль,ТОЧНО,"Суздаль, ул. Ленина, 63А"
3,Усадьба Долгорукий,Суздаль,ТОЧНО,"Суздальский р-н, с. Кидекша, ул. Долгоруково, 5"
174,Welna Eco Spa Resort,Таруса,ТОЧНО,"Таруса, Серпуховское шоссе, 69"
188,Арт-пространство Август,Таруса,ПРИМЕРНО (центр города),"Таруса, ул. Ленина, 8 (вход со двора)"
177,Бутик-отель Онегин,Таруса,ПРИМЕРНО (центр города),"Таруса, ул. Октябрьская, 5"
179,"Глэмпинг ""Дыши лесом""",Таруса,ПРИМЕРНО (центр города),"Калужская обл., Тарусский р-н, д. Слободка, КП «Новая Земля» (глэмпинг «Дыши лесом»)"
176,"Гостевой дом ""Частная территория""",Таруса,ПРИМЕРНО (центр города),"Таруса, ул. Володарского, 10а"
187,Дом Литераторов,Таруса,ТОЧНО,"Таруса, ул. Весёлая, 23"
186,Дом-музей Паустовского,Таруса,ТОЧНО,"Таруса, ул. Пролетарская, 2"
189,Зеленая собачка,Таруса,ПРИМЕРНО (центр города),"Таруса, ул. Некрасова, 39А"
182,Кафе Тартусское время,Таруса,ПРИМЕРНО (центр города),"Таруса, ул. Луначарского, 13"
183,"Кофейня ""Бабушкин буфет""",Таруса,ПРИМЕРНО (центр города),"Таруса, ул. Луначарского, 12"
185,Музей Семьи Цветаевых,Таруса,ТОЧНО,"Таруса, ул. Розы Люксембург, 30"
180,Ресторан Голубчики,Таруса,ТОЧНО,"Таруса, ул. Ленина, 22"
181,Ресторан Дядя Дымов,Таруса,ПРИМЕРНО (центр города),"Таруса, ул. Карла Либкнехта, 11/20"
184,Сад-дендрарий и дом-музей Ракицкого,Таруса,ПРИМЕРНО (центр города),"Таруса, ул. Шмидта, 38"
175,Хоромы,Таруса,ПРИМЕРНО (центр города),"Таруса, ул. Октябрьская, 4"
178,"Экоферма ""Тишь да Гладь""",Таруса,ПРИМЕРНО (центр города),"Калужская обл., Тарусский р-н, д. Слободка, КП «Заречье-3», 1286"
129,Angel 8,Тула,ПРИМЕРНО (центр города),"Тула, просп. Ленина, 85, корп. 1"
119,Azimut Сити отель,Тула,ТОЧНО,"Тула, ул. Советская, 3"
128,Bottega Italiana,Тула,ПРИМЕРНО (центр города),"Тула, ул. Менделеевская, 12В"
137,Mr. Cup.,Тула,ТОЧНО,"Тула, ул. Советская, 56А"
131,Salden's Porterhouse / Taphouse,Тула,ПРИМЕРНО (центр города),"Тула, ул. Советская, 11"
130,Ten_bistro,Тула,ПРИМЕРНО (центр города),"Тула, ул. Фридриха Энгельса, 1"
133,Wellwellwell,Тула,ПРИМЕРНО (центр города),"Тула, ул. Металлистов, 13"
120,Дом Дворянского собрания,Тула,ТОЧНО,"Тула, просп. Ленина, 44"
136,"Кафе-джелатерия ""Филипповский""",Тула,ПРИМЕРНО (центр города),"Тула, ул. Советская, 56"
132,Магадан,Тула,ТОЧНО,"Тула, ул. Советская, 47"
135,Мета-рюмочная Lil Pil,Тула,ПРИМЕРНО (центр города),"Тула, ул. Советская, 11/4"
124,Музей «Тульские самовары»,Тула,ТОЧНО,"Тула, ул. Менделеевская, 8"
122,Музей Тульского пряника,Тула,ПРИМЕРНО (центр города),"Тула, ул. Октябрьская, 45Б"
125,"Посетить креативный кластер ""Октава""",Тула,ПРИМЕРНО (центр города),"Тула, Центральный переулок, 18"
127,Светски,Тула,ТОЧНО,"Тула, ул. Советская, 3"
123,Тульский государственный музей оружия,Тула,ТОЧНО,"Тула, ул. Октябрьская, 2"
121,Тульский кремль,Тула,ТОЧНО,"Тула, Кремль"
134,Чайная «Нитка»,Тула,ПРИМЕРНО (центр города),"Тула, Центральный переулок, 18"
126,Ясная Поляна,Тула,ТОЧНО,"Тульская обл., Щёкинский р-н, п. Ясная Поляна"
199,Osteria Lucia,Ярославль,ПРИМЕРНО (центр города),"Ярославль, ул. Свободы, 42"
191,Royal Hotel Yaroslavl,Ярославль,ТОЧНО,"Ярославль, Которосльная наб., 55"
243,roomroom на Волжской набережной,Ярославль,ТОЧНО,"Ярославль, Волжская набережная, 61"
244,roomroom Двухкомнатная сталинка,Ярославль,ТОЧНО,"Ярославль, Первомайская ул., 9"
245,roomroom Студия на Свердлова,Ярославль,ТОЧНО,"Ярославль, ул. Свердлова, 31"
246,roomroom «Сказка»,Ярославль,ТОЧНО,"Ярославль, Которосльная набережная, 4"
197,«Бирукка»,Ярославль,ПРИМЕРНО (центр города),"Ярославль, пл. Волкова, 3"
194,«Закрома»,Ярославль,ТОЧНО,"Ярославль, ул. Свободы, 42"
195,Агапа,Ярославль,ТОЧНО,"Ярославль, ул. Трефолева, 16"
193,Глэмпинг Точка Немо,Ярославль,ПРИМЕРНО (центр города),"Ярославская обл., Некрасовский р-н, пос. Защитный"
200,Литера,Ярославль,ПРИМЕРНО (центр города),"Ярославль, ул. Республиканская, 61"
190,Отель «Ласточка»,Ярославль,ПРИМЕРНО (центр города),"Ярославль, Волжская наб., 15а"
201,Просто Кофе,Ярославль,ТОЧНО,"Ярославль, ул. Трефолева, 17"
203,Ресторан «Мамука»,Ярославль,ТОЧНО,"Ярославль, Первомайский бульвар, 1"
198,Сайёра,Ярославль,ПРИМЕРНО (центр города),"Ярославль, пл. Волкова, 3"
209,Силой Ветра,Ярославль,ПРИМЕРНО (центр города),"Ярославль, Тверицкая наб., 82а"
202,Сказка,Ярославль,ТОЧНО,"Ярославль, ул. Свободы, 27"
204,"Скачайте приложение ""Медвежья тропа""",Ярославль,ПРИМЕРНО (центр города),"Ярославль, Богоявленская пл. (начало маршрута «Медвежья тропа»)"
196,Союз писателей,Ярославль,ТОЧНО,"Ярославль, ул. Терешковой, 5"
205,Стрелка,Ярославль,ТОЧНО,"Ярославль, Волжская наб. (парк «Стрелка»)"
206,Театр драмы им. Волкова,Ярославль,ТОЧНО,"Ярославль, пл. Волкова, 1"
208,Экскурсии «Текстиль»,Ярославль,ПРИМЕРНО (центр города),"Ярославль, ул. Стачек, 63"
207,Ярославская государственная филармония,Ярославль,ПРИМЕРНО (центр города),"Ярославль, ул. Максимова, 13"
241,WeLodge,под Санкт-Петербургом,ПРИМЕРНО (центр города),"Ленинградская область, д. Медный Завод, уч. 1, стр. 1"
